"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"temp * O2 * CScat + sex",15,-1963.89859251779,0,1,0.996983428982911,997.506140806458,0.996983428982911
"temp * O2 + sex",7,-1952.29736557047,11.6012269473126,0.00302569798989,0.00301657075702724,983.276245427607,0.999999999739939
"temp + O2 + sex",6,-1919.76442704232,44.1341654754642,2.60848134597379e-10,2.60061267674691e-10,965.977668066616,1
"temp * CScat + sex",9,-1809.23993360578,154.658658912005,2.60794800151255e-34,2.60008094115711e-34,913.825916459642,1
"temp + sex",5,-1792.87168964974,171.02690286805,7.27746145199308e-38,7.25550847269902e-38,901.503872035753,1
"O2 + sex",5,-1539.2384552734,424.660137244388,6.1125560607539e-93,6.0941171013007e-93,774.687254847584,1
"O2 * CScat + sex",9,-1539.17256506985,424.726027447936,5.91445837078777e-93,5.89661698708467e-93,778.792232191676,1
