"stock","temperature","oxygen","sex","fresh_mass","wing_area","ID_fly","cell_area","cell_number","cell_area_log","cell_number_log","wing_area_log","fresh_mass_log","cell_area_cat","cell_area_delta","fresh_mass_delta","wing_area_delta"
"25180",25,10,"male",0.571,657146.176,"20191126-DRME-P4-B2",110.765042253521,5932.79398111826,2.04440271750544,3.7732592675323,5.81766198503774,-0.243363891754152,"small",-11.1576642999156,-17.0058139534884,-7.50617103796586
"25180",25,10,"male",0.603,644973.075,"20191126-DRME-P4-B4",109.226638888889,5904.90636314554,2.03832856979324,3.77121301519397,5.80954158498721,-0.219682687859849,"small",-12.3915856290835,-12.3546511627907,-9.21954435269024
"25180",25,10,"male",0.559,673301.891,"20191126-DRME-P4-B5",112.3474,5993.03491669589,2.05056302621025,3.77764680799586,5.82820983420612,-0.252588192113577,"small",-9.88848807562869,-18.75,-5.2322417440832
"25180",25,10,"male",0.6,645800.248,"20191126-DRME-P4-B6",112.3474,5748.24382228694,2.05056302621025,3.75953518124854,5.8100982074588,-0.221848749616356,"small",-9.88848807562869,-12.7906976744186,-9.10311911766913
"25180",25,10,"male",0.584,666318.929,"20191126-DRME-P4-B7",113.975623188406,5846.15297868169,2.05681197548726,3.76687017553186,5.82368215101912,-0.233587152887601,"small",-8.58252413469577,-15.1162790697674,-6.21509900851683
"25180",25,10,"male",0.548,632916.296,"20191126-DRME-P4-B8",112.3474,5633.56424803778,2.05056302621025,3.75078325159696,5.80134627780721,-0.261219441515631,"small",-9.88848807562869,-20.3488372093023,-10.916545256579
"25180",25,10,"male",0.624,676389.017,"20191126-DRME-P4-C1",119.552909090909,5657.65418962468,2.07756014830422,3.75263639873647,5.83019654704069,-0.204815410317576,"small",-4.10909915904832,-9.30232558139534,-4.7977263886621
"25180",25,10,"male",0.559,636062.506,"20191126-DRME-P4-C2",109.226638888889,5823.32764672029,2.03832856979324,3.76517122616495,5.80349979595819,-0.252588192113577,"small",-12.3915856290835,-18.75,-10.4737137827812
"25180",17,21,"male",0.734,897903.84,"20191204-DRME-P6-C1",142.7854,6288.48495714548,2.154683802513,3.79854602636642,5.95322982887943,-0.134303940083929,"small",14.5251984000175,6.68604651162792,26.3806550725689
"25180",17,21,"male",0.704,897044.746,"20191204-DRME-P6-C10",153.984254901961,5825.5614937458,2.18747631590931,3.76533779096556,5.95281410687487,-0.152427340857888,"small",23.5075669019797,2.32558139534884,26.2597369322824
"25180",17,21,"male",0.69,900197.214,"20191204-DRME-P6-C11",157.06394,5731.40603756661,2.19607648767123,3.75826117684514,5.95433766451637,-0.161150909262745,"small",25.9777182400193,0.290697674418605,26.7034492243863
"25180",17,21,"male",0.671,877772.293,"20191204-DRME-P6-C12",145.429574074074,6035.72071628917,2.16265273218428,3.78072913597754,5.94338186816181,-0.173277479831008,"small",16.6460354074252,-2.47093023255812,23.5471243712366
"25180",17,21,"male",0.686,791864.79,"20191204-DRME-P6-C2",142.7854,5545.83865017012,2.154683802513,3.74396723012462,5.89865103263762,-0.163675884293248,"small",14.5251984000175,-0.290697674418594,11.4555773467928
"25180",17,21,"male",0.677,864155.846,"20191204-DRME-P6-C3",137.269333333333,6295.33068323102,2.13757352447859,3.79901854780854,5.93659207228713,-0.169411331314856,"small",10.1008760996442,-1.59883720930231,21.6305989985186
"25180",17,21,"male",0.67,735234.677,"20191204-DRME-P6-C4",142.7854,5149.22868164392,2.154683802513,3.71174217964442,5.86642598215743,-0.173925197299174,"small",14.5251984000175,-2.61627906976742,3.48484544996337
"25180",17,21,"male",0.723,897465.075,"20191204-DRME-P6-C7",148.173528301887,6056.85162042923,2.17077062240646,3.78224693453203,5.95301755693849,-0.140861702705469,"small",18.8469040000182,5.08720930232558,26.3188985618462
"25180",17,21,"male",0.735,903521.131,"20191204-DRME-P6-C9",157.06394,5752.56886462927,2.19607648767123,3.75986182635841,5.95593831402964,-0.133712660915805,"small",25.9777182400193,6.83139534883721,27.1712930949136
"25180",17,21,"male",0.727,885177.826,"20191204-DRME-P6-D1",145.429574074074,6086.64249782604,2.16265273218428,3.78437779398547,5.94703052616975,-0.138465589140962,"small",16.6460354074252,5.66860465116279,24.5894588284559
"25180",17,21,"male",0.72,909024.122,"20191204-DRME-P6-D2",148.173528301887,6134.86182328038,2.17077062240646,3.78780478547172,5.95857540787818,-0.142667503568732,"small",18.8469040000182,4.65116279069768,27.9458433044755
"25180",17,21,"male",0.733,932214.115,"20191204-DRME-P6-D3",148.666679245283,6270.49800084627,2.17221364073793,3.7973020337224,5.96951567446033,-0.134896025358872,"small",19.2424501107102,6.54069767441861,31.2098526292026
"25180",17,10,"male",0.656,865461.078,"20191204-DRME-P6-E10",140.235660714286,6171.47645322026,2.14685846500105,3.79038907631502,5.93724754131607,-0.18309616062434,"small",12.4801055714458,-4.65116279069766,21.8143114049403
"25180",17,10,"male",0.627,895553.316,"20191204-DRME-P6-E11",142.7854,6272.02302196163,2.154683802513,3.7974076437919,5.95209144630491,-0.202732459169284,"small",14.5251984000175,-8.86627906976743,26.0498170143602
"25180",17,10,"male",0.638,907359.398,"20191204-DRME-P6-E7",151.023019230769,6008.08673155659,2.17904314837245,3.77873619343096,5.95777934180341,-0.195179321278838,"small",21.1324213846339,-7.26744186046511,27.711532122963
"25180",17,10,"male",0.658,881907.372,"20191204-DRME-P6-E8",151.023019230769,5839.55595969387,2.17904314837245,3.76637982458047,5.94542297295292,-0.181774106386044,"small",21.1324213846339,-4.36046511627906,24.1291399162384
"25180",17,10,"male",0.658,901069.212,"20191204-DRME-P6-E9",142.7854,6310.65369428527,2.154683802513,3.8000743483276,5.9547581508406,-0.181774106386044,"small",14.5251984000175,-4.36046511627906,26.8261836125832
"25180",17,10,"male",0.65,818738.193,"20191204-DRME-P6-F2",124.653920634921,6568.09018785598,2.09570594255367,3.81743910754306,5.91314505009673,-0.187086643357144,"small",-0.0176839364926518,-5.52325581395348,15.2380294578887
"25180",17,10,"male",0.617,824676.261,"20191204-DRME-P6-F3",120.818415384615,6825.74968703829,2.08213313536439,3.83415035784662,5.91628349321101,-0.209714835966758,"small",-3.09406289229287,-10.3197674418605,16.0738170893409
"25180",17,10,"male",0.633,887226.008,"20191204-DRME-P6-F5",153.984254901961,5761.79693543916,2.18747631590931,3.76055794825674,5.94803426416605,-0.198596289982645,"small",23.5075669019797,-7.99418604651162,24.8777420179652
"25180",17,10,"male",0.625,857777.169,"20191204-DRME-P6-F6",140.235660714286,6116.68362120548,2.14685846500105,3.78651601766994,5.93337448267098,-0.204119982655925,"small",12.4801055714458,-9.15697674418604,20.7327953119275
"25180",17,10,"male",0.643,877669.055,"20191204-DRME-P6-F7",135.399948275862,6482.04867266159,2.13161849844431,3.81171228775589,5.9433307862002,-0.191789027075778,"small",8.60148124139593,-6.54069767441859,23.5325935434495
"25180",17,10,"male",0.596,819175.114,"20191204-DRME-P6-F8",126.664467741935,6467.28422424651,2.10265480250899,3.81072194774307,5.91337675025206,-0.224753740259764,"small",1.59493406453166,-13.3720930232558,15.2995264241952
"25180",17,10,"male",0.638,888555.207,"20191204-DRME-P6-F9",140.702392857143,6315.13927344621,2.14830148333252,3.80038293288378,5.9486844162163,-0.195179321278838,"small",12.8544617119222,-7.26744186046511,25.0648277980436
"25180",17,21,"male",0.744,835659.162,"20191204-DRME-P6-C6",145.800592592593,5731.52102567281,2.16375928913401,3.7582698899251,5.92202917905911,-0.128427064454121,"small",16.9436216413358,8.13953488372094,17.6196688399885
"25182",25,21,"male",0.732,772359.869,"20191126-DRME-P1-H10",115.520882352941,6685.88962677998,2.06266049739618,3.82515920281652,5.8878197002127,-0.135488918941608,"small",-3.68208352043108,-0.475866757307963,2.43193189682758
"25182",25,21,"male",0.743,749322.642,"20191126-DRME-P1-H12",120.852615384615,6200.30141354632,2.08225605345956,3.79241280224956,5.87466885570913,-0.129011186239425,"small",0.763358778625967,1.0197144799456,-0.623311859183462
