"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"temperature * oxygen * cell_area_delta",10,3105.45124289217,0,1,0.911641512007672,-1542.4733278681,0.911641512007672
"temperature * oxygen",6,3110.11893208518,4.66768919301285,0.0969224023400072,0.0883584854166601,-1548.96401149714,0.999999997424332
"oxygen * cell_area_delta",6,3144.8205400355,39.3692971433343,2.8253076611754e-09,2.5756677481208e-09,-1566.3148154723,1
"temperature * cell_area_delta",6,3188.45940460581,83.0081617136429,9.44075456848727e-19,8.60658376930907e-19,-1588.13424775745,1
"oxygen",4,3237.93932840665,132.488085514484,1.70050444531738e-29,1.5502504437049e-29,-1614.92441533455,1
"temperature",4,3318.51203268476,213.060789792587,5.42546968970707e-47,4.94608339127635e-47,-1655.2107674736,1
