"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"temp * O2 * CScat + sex",15,-2322.30977578155,0,1,0.999999999999692,1176.71173243834,0.999999999999692
"temp * O2 + sex",7,-2264.69131704569,57.6184587358648,3.07829798197817e-13,3.07829798197722e-13,1139.47322116521,1
"temp + O2 + sex",6,-2182.95664913108,139.353126650467,5.49354934516316e-31,5.49354934516147e-31,1097.573779111,1
"temp * CScat + sex",9,-2049.19145848388,273.118317297668,4.93299806901163e-60,4.93299806901011e-60,1033.80167889869,1
"temp + sex",5,-2011.5802056039,310.729570177647,3.35684395943521e-68,3.35684395943417e-68,1010.85813001284,1
"O2 * CScat + sex",9,-1319.09619338369,1003.21358239786,1.42869161910213e-218,1.42869161910169e-218,668.754046348596,1
"O2 + sex",5,-1312.69545241961,1009.61432336194,5.82150475747988e-220,5.82150475747809e-220,661.415753420691,1
