"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"temp * O2 * CScat + sex",15,-1853.46218429359,0,1,0.999999990569348,942.287936694358,0.999999990569348
"temp * O2 + sex",7,-1816.50358306348,36.9586012301127,9.43065187358785e-09,9.43065178465066e-09,915.379354174107,1
"temp + O2 + sex",6,-1706.81030836368,146.651875929905,1.42872867567996e-32,1.42872866220611e-32,859.500608727297,1
"O2 * CScat + sex",9,-1620.36565209446,233.096532199134,2.41953081465313e-51,2.41953079183538e-51,819.388775703978,1
"O2 + sex",5,-1605.65942593752,247.802758356068,1.54993941588993e-54,1.54993940127299e-54,807.897740179645,1
"temp * CScat + sex",9,-1538.75434377268,314.707840520909,4.59262224491874e-69,4.59262220160732e-69,778.583121543091,1
"temp + sex",5,-1528.72261605892,324.739568234667,3.04578139877213e-71,3.04578137004843e-71,769.429335240345,1
